file_name, H(X), H(X|X), H(XX), H(X|XX), speed_per_twogram, speed_per_symbol, speed_per_symbol_counting_tree, file_size_bits, file_size_bytes
bib, 5.201, 3.364, 8.565, 2.308, 8.596, 4.298, 4.546, 505738, 63218
book1, 4.527, 3.585, 8.112, 2.814, 8.143, 4.071, 4.114, 3162833, 395355
book2, 4.793, 3.745, 8.538, 2.736, 8.568, 4.284, 4.376, 2672965, 334121
geo, 5.646, 4.264, 9.911, 3.458, 9.944, 4.972, 7.453, 763153, 95395
news, 5.190, 4.092, 9.282, 2.923, 9.312, 4.656, 4.861, 1832993, 229125
obj1, 5.948, 3.464, 9.412, 1.400, 9.458, 4.729, 8.832, 189916, 23740
obj2, 6.260, 3.870, 10.131, 2.265, 10.159, 5.080, 5.731, 1414457, 176808
paper1, 4.983, 3.646, 8.629, 2.332, 8.657, 4.328, 4.857, 258208, 32276
paper2, 4.602, 3.522, 8.124, 2.514, 8.149, 4.075, 4.365, 358762, 44846
pic, 1.210, 0.824, 2.034, 0.705, 2.398, 1.199, 1.305, 669707, 83714
progc, 5.199, 3.604, 8.803, 2.134, 8.832, 4.416, 5.214, 206520, 25815
progl, 4.770, 3.212, 7.982, 2.044, 8.014, 4.007, 4.310, 308802, 38601
progp, 4.869, 3.188, 8.057, 1.755, 8.083, 4.042, 4.570, 225674, 28210
trans, 5.533, 3.355, 8.888, 1.931, 8.918, 4.459, 4.843, 453778, 56723
